id,rubro,laboratorio,concepto,costo_unitario,cantidad,prioridad,compra_sencilla
1,362 Refacciones y Accesorios,MANGLAR,Anemometro Adafruit,1000.00,5,1,NO
2,365 Reactivos e Insumos,MANGLAR,Hidroxido de Calcio ACS 500 g,1013.84,1,1,SI
3,486 Póliza de mantenimiento,MAR,Póliza de mantenimiento para espectrofotómetro UV-Vis LAMBDA25 marca Perkin Elemer. I,104400.00,1,3,NO
4,365 Reactivos e Insumos,MANGLAR,Permanganato de Potasio ACS 500g,1067.20,1,1,SI
5,365 Reactivos e Insumos,MANGLAR,Silica Gel CON Indicador 1Kg,1091.00,2,1,SI
6,362 Refacciones y Accesorios,PETRÓLEO ,Batería de repuesto para cámara GoPro,1100.00,2,3,NO
7,362 Refacciones y Accesorios,MANGLAR,SHT10 sensor de temperatura adafruit,1100.00,5,3,NO
8,401 Equipo de procesamiento de datos y periféricos,PETRÓLEO ,Cámara de acción GoPro Hero Black,11000.00,1,3,NO
9,362 Refacciones y Accesorios,MANGLAR,Cable duplex,12.00,10,3,NO
10,505 Mantenimiento de equipo,MAR,Mantenimiento equipos LEICA,120000.00,1,3,NO
11,362 Refacciones y Accesorios,MANGLAR,Refacciones para sondas y sensores Atlas Scientific,125621.00,1,1,SI
12,362 Refacciones y Accesorios,MANGLAR,Cable UTP,13.00,10,3,NO
13,365 Reactivos e Insumos,MANGLAR,Spray antifouling (Electrodos EXO3),1492.92,1,1,SI
14,362 Refacciones y Accesorios,PETRÓLEO ,Montaje MAPIR dos cámaras para 3DR Solo,1500.00,1,2,NO
15,362 Refacciones y Accesorios,PETRÓLEO ,Krytox lubricante YSI/EXO (599352),1500.00,1,1,SI
16,505 Mantenimiento de equipo,MAR,Mantenimiento DRONES,15000.00,1,2,NO
17,505 Mantenimiento de equipo,MAR,Mantenimiento equipo buceo,15000.00,1,3,NO
18,401 Equipo de procesamiento de datos y periféricos,PETRÓLEO ,Kit cámara MAPIR Survey3W RGB,15200.00,1,2,NO
19,556 Software y sistemas de información,MANGLAR,AQTSOLV,16477.50,1,3,SI
20,362 Refacciones y Accesorios,PETRÓLEO ,Kit de juntas tóricas de repuesto EXO2 (YSI 599681),174000.00,1,1,SI
21,505 Mantenimiento de equipo,MAR,Mantenimiento Torre 50m semestral,18000.00,1,1,NO
22,362 Refacciones y Accesorios,MANGLAR,Sensor para ORP (EXO3),18209.18,1,2,SI
23,362 Refacciones y Accesorios,MANGLAR,Sensor para nitratos (EXO3),18629.68,1,2,SI
24,505 Mantenimiento de equipo,MAR,Mantenimiento preventivo a ultracongelador marca Revco Elite Plus Thermo Scientific Modelo ULT25866-A42 con servicio de pintura,19430.00,1,3,NO
25,505 Mantenimiento de equipo,MAR,Mantenimiento Datalogger,20000.00,1,1,NO
26,362 Refacciones y Accesorios,MAR,Refacciones EXO,20000.00,1,3,NO
27,361 Póliza de seguro del equipo,PETRÓLEO ,Póliza de seguro para dron,205000.00,3,1,NO
